"participant"	"Vis_Degs"	"half"	"condition"	"mean_acc"	"acc_type"
"25"	8.61861830002437	"second"	"Instructions"	0.8125	"Actual"
"25"	9.61562576709552	"first"	"Instructions"	0.714285714285714	"Actual"
"25"	9.61562576709552	"second"	"Instructions"	0.736842105263158	"Actual"
"25"	10.671462499074	"first"	"Instructions"	0.58974358974359	"Actual"
"25"	10.671462499074	"second"	"Instructions"	0.638888888888889	"Actual"
"25"	11.7555717691842	"first"	"Instructions"	0.763157894736842	"Actual"
"25"	11.7555717691842	"second"	"Instructions"	0.527777777777778	"Actual"
"25"	12.8075479749964	"first"	"Instructions"	0.846153846153846	"Actual"
"25"	12.8075479749964	"second"	"Instructions"	0.621621621621622	"Actual"
"25"	13.8873220983092	"first"	"Instructions"	0.789473684210526	"Actual"
"25"	13.8873220983092	"second"	"Instructions"	0.696969696969697	"Actual"
"25"	19.2750762258619	"first"	"Instructions"	0.756756756756757	"Actual"
"25"	19.2750762258619	"second"	"Instructions"	0.764705882352941	"Actual"
"26"	4.80111551057	"first"	"No_instructions"	0.888888888888889	"Actual"
"26"	4.80111551057	"second"	"No_instructions"	0.857142857142857	"Actual"
"26"	5.89329115556566	"first"	"No_instructions"	0.931034482758621	"Actual"
"26"	5.89329115556566	"second"	"No_instructions"	0.925925925925926	"Actual"
"26"	6.98439623888503	"first"	"No_instructions"	0.870967741935484	"Actual"
"26"	6.98439623888503	"second"	"No_instructions"	0.846153846153846	"Actual"
"26"	8.04398035404022	"first"	"No_instructions"	0.84	"Actual"
"26"	8.04398035404022	"second"	"No_instructions"	0.772727272727273	"Actual"
"26"	8.61861830002437	"first"	"No_instructions"	0.833333333333333	"Actual"
"26"	8.61861830002437	"second"	"No_instructions"	0.758620689655172	"Actual"
"26"	9.13240104890675	"first"	"No_instructions"	0.8	"Actual"
"26"	9.13240104890675	"second"	"No_instructions"	0.625	"Actual"
"26"	10.1890088573383	"first"	"No_instructions"	0.56	"Actual"
"26"	10.1890088573383	"second"	"No_instructions"	0.566666666666667	"Actual"
"26"	11.2739944705171	"first"	"No_instructions"	0.666666666666667	"Actual"
"26"	11.2739944705171	"second"	"No_instructions"	0.766666666666667	"Actual"
"26"	19.2750762258619	"first"	"No_instructions"	0.766666666666667	"Actual"
"26"	19.2750762258619	"second"	"No_instructions"	0.689655172413793	"Actual"
"3"	4.58864042901584	"first"	"Instructions"	0.878787878787879	"Actual"
"3"	4.58864042901584	"second"	"Instructions"	0.923076923076923	"Actual"
"3"	5.65067105131079	"first"	"Instructions"	0.870967741935484	"Actual"
"3"	5.65067105131079	"second"	"Instructions"	0.846153846153846	"Actual"
"3"	6.74203101496183	"first"	"Instructions"	0.714285714285714	"Actual"
"3"	6.74203101496183	"second"	"Instructions"	0.833333333333333	"Actual"
"3"	7.8019045724546	"first"	"Instructions"	0.621621621621622	"Actual"
"3"	7.8019045724546	"second"	"Instructions"	0.580645161290323	"Actual"
"3"	8.61861830002437	"first"	"Instructions"	0.705882352941177	"Actual"
"3"	8.61861830002437	"second"	"Instructions"	0.6	"Actual"
"3"	8.89066549682741	"first"	"Instructions"	0.84375	"Actual"
"3"	8.89066549682741	"second"	"Instructions"	0.741935483870968	"Actual"
"3"	9.94764507558825	"first"	"Instructions"	0.655172413793103	"Actual"
"3"	9.94764507558825	"second"	"Instructions"	0.363636363636364	"Actual"
"3"	11.0330548434693	"first"	"Instructions"	0.848484848484849	"Actual"
"3"	11.0330548434693	"second"	"Instructions"	0.454545454545455	"Actual"
"3"	19.2750762258619	"first"	"Instructions"	0.75	"Actual"
"3"	19.2750762258619	"second"	"Instructions"	0.625	"Actual"
"4"	0.942521344413154	"first"	"No_instructions"	0.45	"Actual"
"4"	0.942521344413154	"second"	"No_instructions"	0.636363636363636	"Actual"
"4"	2.00649850908223	"first"	"No_instructions"	0.730769230769231	"Actual"
"4"	2.00649850908223	"second"	"No_instructions"	0.527777777777778	"Actual"
"4"	3.10051236291244	"first"	"No_instructions"	0.620689655172414	"Actual"
"4"	3.10051236291244	"second"	"No_instructions"	0.588235294117647	"Actual"
"4"	4.16359700070342	"first"	"No_instructions"	0.5	"Actual"
"4"	4.16359700070342	"second"	"No_instructions"	0.657142857142857	"Actual"
"4"	5.25630618049436	"first"	"No_instructions"	0.485714285714286	"Actual"
"4"	5.25630618049436	"second"	"No_instructions"	0.487179487179487	"Actual"
"4"	6.31774781830496	"first"	"No_instructions"	0.483870967741935	"Actual"
"4"	6.31774781830496	"second"	"No_instructions"	0.552631578947368	"Actual"
"4"	7.40838358398365	"first"	"No_instructions"	0.555555555555556	"Actual"
"4"	7.40838358398365	"second"	"No_instructions"	0.666666666666667	"Actual"
"4"	8.61861830002437	"first"	"No_instructions"	0.607142857142857	"Actual"
"4"	8.61861830002437	"second"	"No_instructions"	0.594594594594595	"Actual"
"4"	19.2750762258619	"first"	"No_instructions"	0.34375	"Actual"
"4"	19.2750762258619	"second"	"No_instructions"	0.56	"Actual"
"5"	4.3761337740856	"first"	"Instructions"	1	"Actual"
"5"	4.3761337740856	"second"	"Instructions"	0.842105263157895	"Actual"
"5"	5.46867257445521	"first"	"Instructions"	0.914285714285714	"Actual"
"5"	5.46867257445521	"second"	"Instructions"	0.783783783783784	"Actual"
"5"	6.52991182053568	"first"	"Instructions"	0.84375	"Actual"
"5"	6.52991182053568	"second"	"Instructions"	0.888888888888889	"Actual"
"5"	7.620301837783	"first"	"Instructions"	0.743589743589744	"Actual"
"5"	7.620301837783	"second"	"Instructions"	0.675675675675676	"Actual"
"5"	8.61861830002437	"first"	"Instructions"	0.8	"Actual"
"5"	8.61861830002437	"second"	"Instructions"	0.675675675675676	"Actual"
