"participant"	"half"	"as_numbers"	"as_factors"	"offset_from_sp"	"condition"	"Accuracy"	"acc_type"
"146"	9	"first"	-2	"-2"	-2.15847128479618	"No_instructions"	0.772755757445331	"Expected"
"147"	9	"first"	-1.5	"284"	-2.12807732003173	"No_instructions"	0.778642716563657	"Expected"
"148"	9	"first"	-1	"-1"	-1.09453231215461	"No_instructions"	0.748219716169115	"Expected"
"149"	9	"first"	0	"0"	0	"No_instructions"	0.735639327340264	"Expected"
"150"	9	"first"	1	"1"	1.09453231215461	"No_instructions"	0.715580581904963	"Expected"
"151"	9	"first"	2	"2"	2.15847128479618	"No_instructions"	0.666743389236671	"Expected"
"152"	9	"first"	3	"3"	3.2524185571131	"No_instructions"	0.6724561089785	"Expected"
"153"	9	"first"	4	"640"	8.67908175351893	"No_instructions"	0.613780344321803	"Expected"
"154"	9	"second"	-3	"-3"	-3.2524185571131	"No_instructions"	0.799199355744015	"Expected"
"155"	9	"second"	-2	"-2"	-2.15847128479618	"No_instructions"	0.782359538654068	"Expected"
"156"	9	"second"	-1.5	"284"	-2.12807732003173	"No_instructions"	0.784146611119026	"Expected"
"157"	9	"second"	-1	"-1"	-1.09453231215461	"No_instructions"	0.746978912286983	"Expected"
"158"	9	"second"	0	"0"	0	"No_instructions"	0.705658273892746	"Expected"
"159"	9	"second"	1	"1"	1.09453231215461	"No_instructions"	0.671858618378834	"Expected"
"160"	9	"second"	2	"2"	2.15847128479618	"No_instructions"	0.696128075388434	"Expected"
"161"	9	"second"	3	"3"	3.2524185571131	"No_instructions"	0.60907889035516	"Expected"
"162"	9	"second"	4	"640"	8.67908175351893	"No_instructions"	0.573715739710568	"Expected"
"163"	10	"first"	-3	"-3"	-3.2524185571131	"Instructions"	0.999886412777531	"Expected"
"164"	10	"first"	-2	"-2"	-2.15847128479618	"Instructions"	0.996600362197049	"Expected"
"165"	10	"first"	-1	"-1"	-1.09453231215461	"Instructions"	0.963784631158841	"Expected"
"166"	10	"first"	0	"0"	0	"Instructions"	0.831250930816988	"Expected"
"167"	10	"first"	1	"1"	1.09453231215461	"Instructions"	0.75	"Expected"
"168"	10	"first"	2	"2"	2.15847128479618	"Instructions"	0.75	"Expected"
