"participant"	"half"	"as_numbers"	"as_factors"	"offset_from_sp"	"condition"	"mean_fix_pos"	"box"	"fix_type"
"201"	"21"	"first"	-1	"-1"	-1.09453231215461	"Instructions"	1	"Centre"	"Optimal"
"202"	"21"	"first"	0	"0"	0	"Instructions"	0	"Centre"	"Optimal"
"203"	"21"	"first"	0.5	"284"	0.273640879660552	"Instructions"	0	"Centre"	"Optimal"
"204"	"21"	"first"	1	"1"	1.06413040966505	"Instructions"	0	"Centre"	"Optimal"
"205"	"21"	"first"	2	"2"	2.15847128479618	"Instructions"	0	"Centre"	"Optimal"
"206"	"21"	"first"	3	"3"	3.22203821588321	"Instructions"	0	"Centre"	"Optimal"
"207"	"21"	"first"	4	"640"	11.0631776929368	"Instructions"	0	"Centre"	"Optimal"
"208"	"21"	"second"	-3	"-3"	-3.2524185571131	"Instructions"	1	"Centre"	"Optimal"
"209"	"21"	"second"	-2	"-2"	-2.15847128479618	"Instructions"	1	"Centre"	"Optimal"
"210"	"21"	"second"	-1	"-1"	-1.09453231215461	"Instructions"	1	"Centre"	"Optimal"
"211"	"21"	"second"	0	"0"	0	"Instructions"	0	"Centre"	"Optimal"
"212"	"21"	"second"	0.5	"284"	0.273640879660552	"Instructions"	0	"Centre"	"Optimal"
"213"	"21"	"second"	1	"1"	1.06413040966505	"Instructions"	0	"Centre"	"Optimal"
"214"	"21"	"second"	2	"2"	2.15847128479618	"Instructions"	0	"Centre"	"Optimal"
"215"	"21"	"second"	3	"3"	3.22203821588321	"Instructions"	0	"Centre"	"Optimal"
"216"	"21"	"second"	4	"640"	11.0631776929368	"Instructions"	0	"Centre"	"Optimal"
"217"	"22"	"first"	-3	"-3"	-3.22203821588321	"No_instructions"	1	"Centre"	"Optimal"
"218"	"22"	"first"	-2	"-2"	-2.15847128479618	"No_instructions"	1	"Centre"	"Optimal"
"219"	"22"	"first"	-1	"-1"	-1.06413040966505	"No_instructions"	1	"Centre"	"Optimal"
"220"	"22"	"first"	0	"0"	0	"No_instructions"	1	"Centre"	"Optimal"
"221"	"22"	"first"	1	"1"	1.09453231215461	"No_instructions"	0	"Centre"	"Optimal"
"222"	"22"	"first"	1.5	"284"	1.15533565059432	"No_instructions"	0	"Centre"	"Optimal"
"223"	"22"	"first"	2	"2"	2.15847128479618	"No_instructions"	0	"Centre"	"Optimal"
"224"	"22"	"first"	3	"3"	3.2524185571131	"No_instructions"	0	"Centre"	"Optimal"
"225"	"22"	"first"	4	"640"	11.9360568012004	"No_instructions"	0	"Centre"	"Optimal"
"226"	"22"	"second"	-3	"-3"	-3.22203821588321	"No_instructions"	1	"Centre"	"Optimal"
"227"	"22"	"second"	-2	"-2"	-2.15847128479618	"No_instructions"	1	"Centre"	"Optimal"
"228"	"22"	"second"	-1	"-1"	-1.06413040966505	"No_instructions"	1	"Centre"	"Optimal"
"229"	"22"	"second"	0	"0"	0	"No_instructions"	1	"Centre"	"Optimal"
"230"	"22"	"second"	1	"1"	1.09453231215461	"No_instructions"	0	"Centre"	"Optimal"
"231"	"22"	"second"	1.5	"284"	1.15533565059432	"No_instructions"	0	"Centre"	"Optimal"
"232"	"22"	"second"	2	"2"	2.15847128479618	"No_instructions"	0	"Centre"	"Optimal"
"233"	"22"	"second"	3	"3"	3.2524185571131	"No_instructions"	0	"Centre"	"Optimal"
"234"	"22"	"second"	4	"640"	11.9360568012004	"No_instructions"	0	"Centre"	"Optimal"
"235"	"23"	"first"	-3	"-3"	-3.22203821588321	"Instructions"	1	"Centre"	"Optimal"
"236"	"23"	"first"	-2	"-2"	-2.15847128479618	"Instructions"	1	"Centre"	"Optimal"
"237"	"23"	"first"	-1	"-1"	-1.06413040966505	"Instructions"	1	"Centre"	"Optimal"
"238"	"23"	"first"	0	"0"	0	"Instructions"	1	"Centre"	"Optimal"
"239"	"23"	"first"	1	"1"	1.09453231215461	"Instructions"	0	"Centre"	"Optimal"
"240"	"23"	"first"	2	"2"	2.1888649458271	"Instructions"	0	"Centre"	"Optimal"
"241"	"23"	"first"	2.5	"284"	2.31043646718459	"Instructions"	0	"Centre"	"Optimal"
"242"	"23"	"first"	3	"3"	3.2524185571131	"Instructions"	0	"Centre"	"Optimal"
"243"	"23"	"first"	4	"640"	13.0777132898041	"Instructions"	0	"Centre"	"Optimal"
"244"	"23"	"second"	-3	"-3"	-3.22203821588321	"Instructions"	1	"Centre"	"Optimal"
"245"	"23"	"second"	-2	"-2"	-2.15847128479618	"Instructions"	1	"Centre"	"Optimal"
"246"	"23"	"second"	-1	"-1"	-1.06413040966505	"Instructions"	1	"Centre"	"Optimal"
"247"	"23"	"second"	0	"0"	0	"Instructions"	1	"Centre"	"Optimal"
"248"	"23"	"second"	1	"1"	1.09453231215461	"Instructions"	0	"Centre"	"Optimal"
"249"	"23"	"second"	2	"2"	2.1888649458271	"Instructions"	0	"Centre"	"Optimal"
"250"	"23"	"second"	2.5	"284"	2.31043646718459	"Instructions"	0	"Centre"	"Optimal"
"251"	"23"	"second"	3	"3"	3.2524185571131	"Instructions"	0	"Centre"	"Optimal"
"252"	"23"	"second"	4	"640"	13.0777132898041	"Instructions"	0	"Centre"	"Optimal"
"253"	"24"	"first"	-3	"-3"	-3.2524185571131	"No_instructions"	1	"Centre"	"Optimal"
"254"	"24"	"first"	-2	"-2"	-2.15847128479618	"No_instructions"	1	"Centre"	"Optimal"
"255"	"24"	"first"	-1	"-1"	-1.09453231215461	"No_instructions"	1	"Centre"	"Optimal"
"256"	"24"	"first"	0	"0"	0	"No_instructions"	0	"Centre"	"Optimal"
"257"	"24"	"first"	1	"1"	1.06413040966505	"No_instructions"	0	"Centre"	"Optimal"
"258"	"24"	"first"	1.5	"284"	1.82412190700378	"No_instructions"	0	"Centre"	"Optimal"
"259"	"24"	"first"	2	"2"	2.15847128479618	"No_instructions"	0	"Centre"	"Optimal"
"260"	"24"	"first"	3	"3"	3.22203821588321	"No_instructions"	0	"Centre"	"Optimal"
"261"	"24"	"first"	4	"640"	12.5973203487428	"No_instructions"	0	"Centre"	"Optimal"
"262"	"24"	"second"	-3	"-3"	-3.2524185571131	"No_instructions"	1	"Centre"	"Optimal"
"263"	"24"	"second"	-2	"-2"	-2.15847128479618	"No_instructions"	1	"Centre"	"Optimal"
"264"	"24"	"second"	-1	"-1"	-1.09453231215461	"No_instructions"	1	"Centre"	"Optimal"
"265"	"24"	"second"	0	"0"	0	"No_instructions"	0	"Centre"	"Optimal"
"266"	"24"	"second"	1	"1"	1.06413040966505	"No_instructions"	0	"Centre"	"Optimal"
"267"	"24"	"second"	1.5	"284"	1.82412190700378	"No_instructions"	0	"Centre"	"Optimal"
"268"	"24"	"second"	2	"2"	2.15847128479618	"No_instructions"	0	"Centre"	"Optimal"
"269"	"24"	"second"	3	"3"	3.22203821588321	"No_instructions"	0	"Centre"	"Optimal"
"270"	"24"	"second"	4	"640"	12.5973203487428	"No_instructions"	0	"Centre"	"Optimal"
"271"	"25"	"first"	-3	"-3"	-3.22203821588321	"Instructions"	1	"Centre"	"Optimal"
"272"	"25"	"first"	-2	"-2"	-2.15847128479618	"Instructions"	1	"Centre"	"Optimal"
"273"	"25"	"first"	-1.5	"284"	-2.06728849639045	"Instructions"	1	"Centre"	"Optimal"
"274"	"25"	"first"	-1	"-1"	-1.06413040966505	"Instructions"	0	"Centre"	"Optimal"
"275"	"25"	"first"	0	"0"	0	"Instructions"	0	"Centre"	"Optimal"
"276"	"25"	"first"	1	"1"	1.09453231215461	"Instructions"	0	"Centre"	"Optimal"
"277"	"25"	"first"	2	"2"	2.15847128479618	"Instructions"	0	"Centre"	"Optimal"
"278"	"25"	"first"	3	"3"	3.2524185571131	"Instructions"	0	"Centre"	"Optimal"
"279"	"25"	"first"	4	"640"	8.73954036549999	"Instructions"	0	"Centre"	"Optimal"
"280"	"25"	"second"	-3	"-3"	-3.22203821588321	"Instructions"	1	"Centre"	"Optimal"
